ID,Fecha_Registro,Etapa_Cadena,Region_Origen,Tipo_Certificacion,Metodo_Transporte,Canal_Comercializacion,Rendimiento_ha_ton,Dias_Cosecha_Procesamiento,Perdidas_Acopio_porcentaje,Tiempo_Fritura_min,Costo_Produccion_USD_kg,Precio_Venta_USD_kg,Puntuacion_Calidad_1_10,ID_Lote,Margen_Ganancia_USD_kg,Eficiencia_Logistica_porcentaje,Precio_Relativo,Apreciacion_Producto,Puntuacion_Calidad_Antes
19,2024-06-24,Procesamiento,Costa,En transición,Refrigerado,No aplica,"21,99",4,"7,57","6,2","1,52","5,23","6,7",L019-Cos,"3,71","92,43","3,440789474",Negativa,"5,9"
20,2024-11-12,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"21,85",3,"4,61","5,1","2,15","6,68","8,7",L020-Cos,"4,53","95,39","3,106976744",Positiva,"8,1"
21,2024-10-28,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"21,98",5,"9,18","6,2","1,75","5,32","7,6",L021-Cos,"3,57","90,82","3,04",Positiva,"6,9"
22,2024-10-06,Venta,Selva,Convencional,Refrigerado,Supermercados,"18,66",2,"6,9","6,8","1,5","8,28",9,L022-Sel,"6,78","93,1","5,52",Positiva,"8,1"
23,2024-01-26,Acopio,Sierra,Convencional,Refrigerado,No aplica,"15,44",1,"3,96","6,1","1,35","5,19","5,9",L023-Sie,"3,84","96,04","3,844444444",Negativa,"5,2"
24,2024-05-22,Distribución,Sierra,En transición,No refrigerado,No aplica,"21,59",2,"5,5","5,2","0,85","7,55","7,4",L024-Sie,"6,7","94,5","8,882352941",Positiva,"6,9"
25,2024-09-27,Acopio,Costa,Convencional,Refrigerado,No aplica,25,5,"8,87","6,6","1,05","4,16","4,5",L025-Cos,"3,11","91,13","3,961904762",Negativa,4
26,2024-11-03,Acopio,Costa,Convencional,No refrigerado,No aplica,"23,1",5,"8,89","4,6","1,21","6,8","5,1",L026-Cos,"5,59","91,11","5,619834711",Negativa,4
27,2024-05-08,Cosecha,Selva,Convencional,Refrigerado,No aplica,"16,08",2,"3,55","4,1","1,76","7,34","4,7",L027-Sel,"5,58","96,45","4,170454545",Negativa,4
28,2024-12-14,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"23,89",5,"5,83","5,6","2,16","5,74","9,5",L028-Cos,"3,58","94,17","2,657407407",Positiva,"8,8"
29,2024-09-10,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"22,89",5,"3,12","6,3","1,61","5,39","8,2",L029-Cos,"3,78","96,88","3,347826087",Positiva,"7,6"
30,2024-01-16,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"21,74",3,"9,53","5,5","1,34","6,74","6,7",L030-Cos,"5,4","90,47","5,029850746",Negativa,"6,1"
31,2024-09-24,Cosecha,Sierra,Orgánico,Refrigerado,No aplica,"18,28",2,"5,44","4,4","2,31","7,28","9,2",L031-Sie,"4,97","94,56","3,151515152",Positiva,8
32,2024-07-14,Acopio,Selva,En transición,Refrigerado,No aplica,"18,54",5,"10,91","4,1","1,61","5,13","7,6",L032-Sel,"3,52","89,09","3,186335404",Positiva,"6,2"
33,2024-02-05,Distribución,Costa,En transición,Refrigerado,No aplica,"22,9",4,"6,24","6,3","1,61","7,96","7,2",L033-Cos,"6,35","93,76","4,944099379",Positiva,"6,3"
34,2024-03-24,Acopio,Sierra,Convencional,Mixto,No aplica,"17,46",7,"8,18","4,7","1,18","6,14","8,6",L034-Sie,"4,96","91,82","5,203389831",Positiva,8
35,2024-01-25,Distribución,Costa,Convencional,Refrigerado,No aplica,"21,46",4,"7,01","5,9","1,25","5,17","6,4",L035-Cos,"3,92","92,99","4,136",Negativa,"5,4"
36,2024-06-22,Procesamiento,Costa,En transición,No refrigerado,No aplica,25,5,"9,82","6,5","1,67","7,35","7,6",L036-Cos,"5,68","90,18","4,401197605",Positiva,"6,8"
37,2024-12-29,Distribución,Costa,Convencional,No refrigerado,No aplica,"24,31",2,"7,14","5,1","1,51","5,93","6,7",L037-Cos,"4,42","92,86","3,927152318",Negativa,"5,8"
38,2024-01-01,Procesamiento,Costa,En transición,Refrigerado,No aplica,"21,4",4,9,"6,2","1,57","7,29","7,3",L038-Cos,"5,72",91,"4,643312102",Positiva,"6,2"
39,2024-05-28,Distribución,Costa,Convencional,No refrigerado,No aplica,"22,11",6,"9,74",4,"1,77","4,17","5,7",L039-Cos,"2,4","90,26","2,355932203",Negativa,"4,5"
40,2024-09-15,Cosecha,Selva,En transición,Refrigerado,No aplica,"18,58",1,"6,52","4,9","1,8","6,79",8,L040-Sel,"4,99","93,48","3,772222222",Positiva,"7,4"
41,2024-08-07,Venta,Costa,Convencional,Mixto,Tiendas especializadas,25,4,"4,32","5,4","1,15","9,92","5,8",L041-Cos,"8,77","95,68","8,626086957",Negativa,"5,3"
42,2024-03-22,Acopio,Costa,Convencional,Refrigerado,No aplica,"20,71",5,"7,79","4,5","1,71","7,29","4,9",L042-Cos,"5,58","92,21","4,263157895",Negativa,4
43,2024-06-25,Acopio,Sierra,En transición,Refrigerado,No aplica,"18,36",5,"5,18","5,1","1,61","7,95","8,9",L043-Sie,"6,34","94,82","4,937888199",Positiva,"8,2"
44,2024-07-15,Acopio,Sierra,Convencional,No refrigerado,No aplica,"16,26",2,"5,9","4,8","0,86","7,46","7,6",L044-Sie,"6,6","94,1","8,674418605",Positiva,7
45,2024-10-14,Venta,Selva,Convencional,No refrigerado,Tiendas especializadas,"18,65",2,"3,9","6,9","1,41","8,14","8,3",L045-Sel,"6,73","96,1","5,773049645",Positiva,"7,6"
46,2024-11-08,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"24,55",2,"7,11","5,7","2,06","7,51","8,1",L046-Cos,"5,45","92,89","3,645631068",Positiva,"7,6"
47,2024-11-03,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"24,3",5,"9,86","5,8","1,44","6,22","7,8",L047-Cos,"4,78","90,14","4,319444444",Positiva,"6,9"
48,2024-03-09,Procesamiento,Costa,En transición,Refrigerado,No aplica,25,5,"6,03","6,8","1,29","5,03","7,6",L048-Cos,"3,74","93,97","3,899224806",Positiva,"6,3"
49,2024-03-01,Venta,Costa,Convencional,No refrigerado,Supermercados,"22,73",5,"5,42","6,7","1,27","8,67","5,6",L049-Cos,"7,4","94,58","6,826771654",Negativa,"4,8"
50,2024-10-08,Cosecha,Costa,Orgánico,Refrigerado,No aplica,"21,79",2,"7,37","4,4","1,83","5,29","6,6",L050-Cos,"3,46","92,63","2,890710383",Negativa,"5,7"
51,2024-01-14,Distribución,Costa,Orgánico,No refrigerado,No aplica,"23,7",2,"5,58",7,"2,04","7,7",7,L051-Cos,"5,66","94,42","3,774509804",Positiva,"5,8"
52,2024-01-15,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"23,15",4,"6,72","4,3","1,25","6,13","7,5",L052-Cos,"4,88","93,28","4,904",Positiva,"6,5"
53,2024-04-20,Cosecha,Sierra,Orgánico,Refrigerado,No aplica,15,5,"5,56",6,"2,29","5,99","8,1",L053-Sie,"3,7","94,44","2,615720524",Positiva,"6,7"
54,2024-12-30,Procesamiento,Sierra,Convencional,No refrigerado,No aplica,15,6,"5,54","5,9","1,37","5,42","8,6",L054-Sie,"4,05","94,46","3,95620438",Positiva,"7,2"
55,2024-08-30,Acopio,Selva,Orgánico,Refrigerado,No aplica,"19,38",3,"2,53","6,4","1,56","7,37","4,8",L055-Sel,"5,81","97,47","4,724358974",Negativa,"4,3"
56,2024-07-21,Cosecha,Sierra,En transición,No refrigerado,No aplica,"19,99",2,"8,44","6,2","1,62","6,87","7,6",L056-Sie,"5,25","91,56","4,240740741",Positiva,"6,3"
57,2024-02-07,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"20,47",1,"8,15","5,6","1,51","7,07",5,L057-Cos,"5,56","91,85","4,682119205",Negativa,4
58,2024-03-24,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"21,7",3,"6,84","5,6",1,"6,74","6,8",L058-Cos,"5,74","93,16","6,74",Negativa,"5,3"
59,2024-05-16,Acopio,Sierra,Convencional,No refrigerado,No aplica,15,2,"8,96","6,2","1,21","7,73","6,2",L059-Sie,"6,52","91,04","6,388429752",Negativa,"5,2"
60,2024-03-02,Cosecha,Costa,En transición,No refrigerado,No aplica,"23,06",5,"6,15","4,5","1,61","6,66",8,L060-Cos,"5,05","93,85","4,136645963",Positiva,"6,5"
61,2024-05-24,Acopio,Selva,Convencional,No refrigerado,No aplica,15,4,"7,37","5,6","1,24","6,31","5,5",L061-Sel,"5,07","92,63","5,088709677",Negativa,"4,2"
62,2024-06-05,Venta,Costa,Convencional,Mixto,Mercados locales,"19,04",6,"8,56","5,9","1,33","5,68","8,7",L062-Cos,"4,35","91,44","4,270676692",Positiva,8
63,2024-10-29,Cosecha,Costa,Orgánico,No refrigerado,No aplica,"22,14",3,"4,96","6,3","1,6","6,15","7,2",L063-Cos,"4,55","95,04","3,84375",Positiva,"6,2"
64,2024-10-09,Venta,Costa,Convencional,No refrigerado,Supermercados,"23,51",3,"3,09","5,8","1,37","8,86",6,L064-Cos,"7,49","96,91","6,467153285",Negativa,"4,5"
65,2024-04-20,Acopio,Costa,En transición,No refrigerado,No aplica,"20,22",4,"6,07","5,8","1,31","6,45",4,L065-Cos,"5,14","93,93","4,923664122",Negativa,4
66,2024-09-23,Distribución,Costa,Convencional,Mixto,No aplica,"24,41",4,"3,48","4,2","0,9","7,36",8,L066-Cos,"6,46","96,52","8,177777778",Positiva,"7,4"
67,2024-06-02,Procesamiento,Costa,En transición,No refrigerado,No aplica,"22,11",6,"7,66","6,2","1,01","7,15","8,6",L067-Cos,"6,14","92,34","7,079207921",Positiva,"7,4"
68,2024-06-30,Acopio,Costa,Convencional,Mixto,No aplica,"19,42",4,"9,43","5,8","0,83","7,65","5,1",L068-Cos,"6,82","90,57","9,21686747",Negativa,"4,3"
69,2024-06-25,Cosecha,Costa,Convencional,Mixto,No aplica,"24,16",4,"3,09",6,"0,98","7,84","4,2",L069-Cos,"6,86","96,91",8,Negativa,4
70,2024-10-12,Procesamiento,Sierra,Convencional,Refrigerado,No aplica,"15,35",3,"4,47","6,7","1,01","4,76",6,L070-Sie,"3,75","95,53","4,712871287",Negativa,"5,1"
71,2024-10-14,Venta,Costa,Convencional,No refrigerado,Mercados locales,"18,93",4,"4,09","4,5","1,66","5,84","9,5",L071-Cos,"4,18","95,91","3,518072289",Positiva,"8,8"
72,2024-02-23,Acopio,Selva,Convencional,No refrigerado,No aplica,"19,23",2,"4,55","4,7","1,47","4,08","8,9",L072-Sel,"2,61","95,45","2,775510204",Positiva,"7,6"
73,2024-11-06,Acopio,Sierra,Convencional,No refrigerado,No aplica,"20,15",4,"9,74","6,8","0,94","5,63","7,9",L073-Sie,"4,69","90,26","5,989361702",Positiva,"7,1"
74,2024-07-13,Venta,Costa,Convencional,Refrigerado,Supermercados,"22,65",4,"7,93","6,7","1,42","7,34","5,4",L074-Cos,"5,92","92,07","5,169014085",Negativa,"4,1"
75,2024-06-06,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"17,84",5,"4,54","6,9","1,58","4,46","9,5",L075-Cos,"2,88","95,46","2,82278481",Positiva,9
76,2024-04-18,Procesamiento,Sierra,Convencional,No refrigerado,No aplica,"23,39",2,"3,98","6,5","1,78","6,1","8,4",L076-Sie,"4,32","96,02","3,426966292",Positiva,"7,6"
77,2024-12-27,Distribución,Costa,Convencional,No refrigerado,No aplica,"21,98",3,"6,88",6,"1,63","4,83","9,4",L077-Cos,"3,2","93,12","2,963190184",Positiva,"8,7"
78,2024-05-01,Cosecha,Costa,Orgánico,No refrigerado,No aplica,"23,42",6,"3,05","6,7","1,92","5,53","5,5",L078-Cos,"3,61","96,95","2,880208333",Negativa,"4,8"
79,2024-10-21,Procesamiento,Costa,En transición,Refrigerado,No aplica,"22,29",5,"7,73","4,9","1,16","6,88",7,L079-Cos,"5,72","92,27","5,931034483",Positiva,"6,4"
80,2024-12-30,Procesamiento,Selva,Convencional,Mixto,No aplica,"19,85",4,"3,22","4,8","1,4","4,21","5,3",L080-Sel,"2,81","96,78","3,007142857",Negativa,"4,6"
81,2024-08-16,Cosecha,Sierra,Convencional,Refrigerado,No aplica,"15,39",5,"7,82","5,3","1,05","7,28","4,6",L081-Sie,"6,23","92,18","6,933333333",Negativa,4
82,2024-11-13,Cosecha,Selva,Orgánico,Refrigerado,No aplica,"22,96",1,"2,82","6,9","1,95","4,74","7,3",L082-Sel,"2,79","97,18","2,430769231",Positiva,"6,5"
83,2024-02-16,Venta,Costa,Convencional,No refrigerado,Mercados locales,"22,08",3,"6,43","4,7","1,79","5,83","7,4",L083-Cos,"4,04","93,57","3,25698324",Positiva,"6,5"
84,2024-03-22,Cosecha,Costa,En transición,No refrigerado,No aplica,"18,1",6,"10,12","4,6","0,92","5,69","6,6",L084-Cos,"4,77","89,88","6,184782609",Negativa,"5,7"
85,2024-07-01,Distribución,Costa,Convencional,No refrigerado,No aplica,"24,7",4,"6,92","5,4","1,68","6,12","8,9",L085-Cos,"4,44","93,08","3,642857143",Positiva,"7,5"
86,2024-06-18,Acopio,Sierra,Convencional,No refrigerado,No aplica,"21,08",2,"9,2","5,8","1,03","4,1","8,7",L086-Sie,"3,07","90,8","3,980582524",Positiva,"7,3"
87,2024-03-05,Venta,Costa,Convencional,Refrigerado,Tiendas especializadas,"21,95",4,"9,89","6,3","1,22","9,11","6,5",L087-Cos,"7,89","90,11","7,467213115",Negativa,"5,5"
88,2024-12-09,Acopio,Costa,Convencional,Refrigerado,No aplica,"19,99",1,"4,94","6,7","0,85","4,44","6,5",L088-Cos,"3,59","95,06","5,223529412",Negativa,"5,7"
89,2024-03-12,Cosecha,Selva,Convencional,Refrigerado,No aplica,"20,82",3,"9,33",7,"1,54","4,26","7,8",L089-Sel,"2,72","90,67","2,766233766",Positiva,"7,2"
90,2024-08-02,Venta,Costa,Convencional,No refrigerado,Supermercados,"20,96",2,"9,7","6,5","1,6","8,52","6,5",L090-Cos,"6,92","90,3","5,325",Negativa,5
91,2024-11-24,Venta,Sierra,En transición,Refrigerado,Supermercados,"19,99",3,"10,71","4,7","1,02","8,15","9,3",L091-Sie,"7,13","89,29","7,990196078",Positiva,"8,7"
92,2024-08-13,Venta,Costa,Convencional,Refrigerado,Supermercados,"20,79",2,"9,03","6,4","1,46","8,2","7,7",L092-Cos,"6,74","90,97","5,616438356",Positiva,"6,9"
93,2024-10-27,Acopio,Costa,Orgánico,No refrigerado,No aplica,"20,32",5,"2,66","6,7","2,49","4,25","7,5",L093-Cos,"1,76","97,34","1,706827309",Positiva,"6,7"
94,2024-02-28,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"23,36",5,"8,14","5,6","1,67","4,98","9,5",L094-Cos,"3,31","91,86","2,982035928",Positiva,"8,7"
95,2024-06-08,Venta,Costa,Convencional,No refrigerado,Mercados locales,"24,76",6,"9,17","6,6","0,83","5,48",8,L095-Cos,"4,65","90,83","6,602409639",Positiva,"7,3"
96,2024-08-10,Acopio,Sierra,Orgánico,No refrigerado,No aplica,"18,07",3,"3,72","5,9","2,48","6,53","9,5",L096-Sie,"4,05","96,28","2,633064516",Positiva,"8,2"
97,2024-12-17,Acopio,Costa,Convencional,Refrigerado,No aplica,"24,37",4,"7,43","6,8","0,9","7,75","6,9",L097-Cos,"6,85","92,57","8,611111111",Negativa,"6,3"
98,2024-07-22,Distribución,Selva,Convencional,No refrigerado,No aplica,"19,3",3,"3,52","6,6","1,79","6,7","9,5",L098-Sel,"4,91","96,48","3,74301676",Positiva,"8,4"
99,2024-04-08,Distribución,Costa,Convencional,Refrigerado,No aplica,25,2,"3,01","4,5","1,27","7,78","7,6",L099-Cos,"6,51","96,99","6,125984252",Positiva,7
100,2024-10-29,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"24,24",4,"9,08","6,9","0,83","6,93",9,L100-Cos,"6,1","90,92","8,34939759",Positiva,"8,4"
101,2024-10-06,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"21,91",4,"8,07","6,2",1,"7,47","7,7",L101-Cos,"6,47","91,93","7,47",Positiva,"6,3"
102,2024-12-14,Acopio,Selva,Convencional,Mixto,No aplica,"20,81",7,"4,08","5,4","1,33","4,07","6,7",L102-Sel,"2,74","95,92","3,060150376",Negativa,6
103,2024-11-14,Cosecha,Costa,En transición,No refrigerado,No aplica,"21,82",2,"9,25","4,7","1,36","4,9","9,5",L103-Cos,"3,54","90,75","3,602941176",Positiva,"8,2"
104,2024-10-15,Distribución,Costa,Convencional,No refrigerado,No aplica,25,3,"6,36","5,8","1,09","6,78","6,8",L104-Cos,"5,69","93,64","6,220183486",Negativa,"5,8"
105,2024-01-02,Venta,Sierra,Convencional,No refrigerado,Supermercados,"18,41",5,"7,92","5,7","0,81","7,31","5,6",L105-Sie,"6,5","92,08","9,024691358",Negativa,5
106,2024-10-31,Procesamiento,Sierra,Orgánico,No refrigerado,No aplica,15,3,"6,14","6,4","1,7","4,67","6,2",L106-Sie,"2,97","93,86","2,747058824",Negativa,"4,7"
107,2024-09-07,Venta,Costa,Convencional,No refrigerado,Mercados locales,"18,93",5,"9,1","6,1","1,6","4,02","8,3",L107-Cos,"2,42","90,9","2,5125",Positiva,"7,6"
108,2024-01-12,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"21,8",2,"4,15","5,3","1,52","6,37","9,5",L108-Cos,"4,85","95,85","4,190789474",Positiva,"8,1"
109,2024-05-29,Cosecha,Sierra,Orgánico,Mixto,No aplica,"15,42",7,"5,95","5,5","2,06","6,88","6,7",L109-Sie,"4,82","94,05","3,339805825",Negativa,6
110,2024-01-24,Acopio,Sierra,Convencional,Refrigerado,No aplica,15,1,"8,88","4,5","1,76","5,66",7,L110-Sie,"3,9","91,12","3,215909091",Positiva,"5,6"
111,2024-10-21,Procesamiento,Costa,Convencional,Mixto,No aplica,"18,88",7,"5,77","5,8","1,4","7,17","9,5",L111-Cos,"5,77","94,23","5,121428571",Positiva,9
112,2024-01-14,Acopio,Sierra,En transición,Refrigerado,No aplica,"21,69",1,"5,92","6,1","1,71","4,72","9,5",L112-Sie,"3,01","94,08","2,760233918",Positiva,"8,5"
113,2024-01-28,Venta,Costa,Convencional,No refrigerado,Supermercados,"21,69",2,"7,64","4,3","1,45","7,25",9,L113-Cos,"5,8","92,36",5,Positiva,"7,7"
114,2024-12-26,Acopio,Sierra,Convencional,No refrigerado,No aplica,15,4,"6,09",5,"1,25","6,68","6,6",L114-Sie,"5,43","93,91","5,344",Negativa,"5,2"
115,2024-04-29,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"21,3",2,"7,24","5,1","1,33","7,13","6,9",L115-Cos,"5,8","92,76","5,360902256",Negativa,"5,5"
116,2024-02-04,Distribución,Costa,Convencional,Refrigerado,No aplica,"21,35",2,"3,86","4,7","0,85","6,56","6,9",L116-Cos,"5,71","96,14","7,717647059",Negativa,"5,6"
117,2024-10-27,Procesamiento,Selva,Convencional,No refrigerado,No aplica,"22,75",4,"6,42",6,"0,94","4,12","7,5",L117-Sel,"3,18","93,58","4,382978723",Positiva,"6,1"
118,2024-11-06,Cosecha,Selva,Convencional,Refrigerado,No aplica,"21,8",5,"6,11","6,6","0,98","6,77","6,1",L118-Sel,"5,79","93,89","6,908163265",Negativa,"5,4"
119,2024-05-21,Venta,Costa,Orgánico,Refrigerado,Tiendas especializadas,"22,75",3,"7,59","6,1","2,18","8,08",9,L119-Cos,"5,9","92,41","3,706422018",Positiva,"8,2"
120,2024-04-11,Acopio,Sierra,Orgánico,Refrigerado,No aplica,"17,84",5,"6,69","5,7","2,24","7,51","8,3",L120-Sie,"5,27","93,31","3,352678571",Positiva,"7,5"
121,2024-03-05,Acopio,Sierra,Convencional,No refrigerado,No aplica,"17,26",4,"5,63","4,9","1,45","5,31","9,1",L121-Sie,"3,86","94,37","3,662068966",Positiva,"8,2"
122,2024-11-25,Acopio,Costa,Convencional,Refrigerado,No aplica,"18,89",1,"6,11",4,"1,39","4,67","7,2",L122-Cos,"3,28","93,89","3,35971223",Positiva,"6,3"
123,2024-12-29,Distribución,Costa,Convencional,Mixto,No aplica,"22,18",6,"6,34","5,2","1,35","6,99","5,2",L123-Cos,"5,64","93,66","5,177777778",Negativa,"4,2"
124,2024-11-29,Venta,Costa,Convencional,Refrigerado,Mercados locales,"21,49",3,"5,66","4,6","1,28","3,58","8,3",L124-Cos,"2,3","94,34","2,796875",Positiva,"7,6"
125,2024-12-10,Procesamiento,Costa,Convencional,Refrigerado,No aplica,"22,36",2,"7,27","6,1","1,07","5,65","9,5",L125-Cos,"4,58","92,73","5,280373832",Positiva,"8,3"
126,2024-09-19,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"20,84",2,"6,97","4,8","1,76","5,93","6,1",L126-Cos,"4,17","93,03","3,369318182",Negativa,"5,4"
127,2024-03-12,Distribución,Costa,Convencional,Refrigerado,No aplica,25,2,"4,48","5,8","1,21","7,36","8,3",L127-Cos,"6,15","95,52","6,082644628",Positiva,"7,5"
128,2024-03-09,Distribución,Costa,Convencional,Refrigerado,No aplica,"23,39",2,"8,67","6,3","0,95","5,7","8,4",L128-Cos,"4,75","91,33",6,Positiva,"7,4"
129,2024-09-14,Cosecha,Sierra,Convencional,Refrigerado,No aplica,"21,06",3,"4,62","5,2","1,39","5,99","9,5",L129-Sie,"4,6","95,38","4,309352518",Positiva,"8,2"
130,2024-02-11,Acopio,Sierra,Convencional,No refrigerado,No aplica,"22,27",4,"9,94","4,4","0,9","6,9","6,4",L130-Sie,6,"90,06","7,666666667",Negativa,"5,2"
131,2024-01-27,Venta,Costa,Convencional,No refrigerado,Mercados locales,"18,63",2,"7,32","5,3","1,63","5,01","5,5",L131-Cos,"3,38","92,68","3,073619632",Negativa,"4,4"
132,2024-10-12,Distribución,Costa,Convencional,No refrigerado,No aplica,"21,51",3,"9,96",6,"1,36","6,92","5,1",L132-Cos,"5,56","90,04","5,088235294",Negativa,"4,4"
133,2024-05-15,Acopio,Sierra,Orgánico,Mixto,No aplica,"21,28",4,"2,58","5,4","2,26","5,39","8,5",L133-Sie,"3,13","97,42","2,384955752",Positiva,"7,5"
134,2024-10-14,Distribución,Selva,Convencional,Refrigerado,No aplica,"20,22",1,"7,7","4,3","1,06","7,15","8,9",L134-Sel,"6,09","92,3","6,745283019",Positiva,"8,3"
135,2024-07-08,Cosecha,Sierra,Convencional,No refrigerado,No aplica,"16,04",6,"5,42","4,7","1,31","7,3",5,L135-Sie,"5,99","94,58","5,572519084",Negativa,"4,1"
136,2024-10-17,Procesamiento,Costa,Convencional,Mixto,No aplica,"22,5",7,"5,74","5,5","1,2","6,16",7,L136-Cos,"4,96","94,26","5,133333333",Positiva,"6,1"
137,2024-09-12,Distribución,Costa,Convencional,Refrigerado,No aplica,"23,16",5,"3,16","4,5","1,02","7,83","6,5",L137-Cos,"6,81","96,84","7,676470588",Negativa,6
138,2024-01-25,Venta,Costa,Convencional,Refrigerado,Mercados locales,"20,97",3,"5,79","4,4","1,17","3,2","9,1",L138-Cos,"2,03","94,21","2,735042735",Positiva,"8,3"
139,2024-09-10,Acopio,Costa,Convencional,Refrigerado,No aplica,"23,32",4,"6,08","4,3","1,44","4,86","7,5",L139-Cos,"3,42","93,92","3,375",Positiva,6
140,2024-04-08,Procesamiento,Costa,Convencional,No refrigerado,No aplica,"20,87",4,"8,28","5,9","1,1","5,72","6,1",L140-Cos,"4,62","91,72","5,2",Negativa,"4,6"
141,2024-11-03,Cosecha,Sierra,Orgánico,Refrigerado,No aplica,"20,34",4,"7,98","6,4","2,12","5,23","9,5",L141-Sie,"3,11","92,02","2,466981132",Positiva,"8,6"
