time,date,instrument,granularity,open,high,low,close
2026-04-29T05:45:00.000Z,29/4/2026,GOLD,5Min,"4598,825","4601,175","4598,375","4599,135"
2026-04-29T05:40:00.000Z,29/4/2026,GOLD,5Min,"4595,185","4599,275","4594,985","4598,865"
2026-04-29T05:35:00.000Z,29/4/2026,GOLD,5Min,"4595,145","4596,538","4593,818","4595,165"
2026-04-29T05:30:00.000Z,29/4/2026,GOLD,5Min,"4600,475","4601,405","4594,745","4595,115"
2026-04-29T05:25:00.000Z,29/4/2026,GOLD,5Min,"4599,705","4600,985","4599,055","4600,505"
2026-04-29T05:20:00.000Z,29/4/2026,GOLD,5Min,"4600,605","4601,605","4598,455","4599,735"
2026-04-29T05:15:00.000Z,29/4/2026,GOLD,5Min,"4600,775","4602,495","4600,275","4600,585"
2026-04-29T05:10:00.000Z,29/4/2026,GOLD,5Min,"4602,225","4602,875","4600,065","4600,755"
2026-04-29T05:05:00.000Z,29/4/2026,GOLD,5Min,"4604,555","4605,875","4601,715","4602,065"
2026-04-29T05:00:00.000Z,29/4/2026,GOLD,5Min,"4604,635","4607,655","4602,595","4604,675"
2026-04-29T04:55:00.000Z,29/4/2026,GOLD,5Min,"4604,115","4605,505","4603,335","4604,635"
2026-04-29T04:50:00.000Z,29/4/2026,GOLD,5Min,"4603,905","4604,415","4602,405","4604,135"
2026-04-29T04:45:00.000Z,29/4/2026,GOLD,5Min,"4601,995","4604,125","4601,995","4603,805"
2026-04-29T04:40:00.000Z,29/4/2026,GOLD,5Min,"4602,955","4603,815","4601,365","4601,955"
2026-04-29T04:35:00.000Z,29/4/2026,GOLD,5Min,"4602,265","4605,445","4601,695","4602,935"
2026-04-29T04:30:00.000Z,29/4/2026,GOLD,5Min,"4601,735","4603,645","4601,455","4602,225"
2026-04-29T04:25:00.000Z,29/4/2026,GOLD,5Min,"4598,905","4601,635","4597,035","4601,525"
2026-04-29T04:20:00.000Z,29/4/2026,GOLD,5Min,"4599,605","4599,905","4598,845","4598,925"
2026-04-29T04:15:00.000Z,29/4/2026,GOLD,5Min,"4600,735","4601,715","4598,675","4599,625"
2026-04-29T04:10:00.000Z,29/4/2026,GOLD,5Min,"4599,755","4603,205","4599,325","4600,635"
2026-04-29T04:05:00.000Z,29/4/2026,GOLD,5Min,"4597,595","4600,005","4596,595","4599,705"
2026-04-29T04:00:00.000Z,29/4/2026,GOLD,5Min,"4595,365","4598,415","4595,065","4597,615"
2026-04-29T03:55:00.000Z,29/4/2026,GOLD,5Min,"4594,905","4596,265","4592,975","4595,195"
2026-04-29T03:50:00.000Z,29/4/2026,GOLD,5Min,"4592,485","4595,555","4592,485","4594,875"
2026-04-29T03:45:00.000Z,29/4/2026,GOLD,5Min,"4593,415","4595,105","4591,885","4592,485"
2026-04-29T03:40:00.000Z,29/4/2026,GOLD,5Min,"4594,815","4594,905","4592,105","4593,555"
2026-04-29T03:35:00.000Z,29/4/2026,GOLD,5Min,"4596,558","4597,115","4594,555","4594,855"
2026-04-29T03:30:00.000Z,29/4/2026,GOLD,5Min,"4598,465","4598,525","4595,705","4596,585"
2026-04-29T03:25:00.000Z,29/4/2026,GOLD,5Min,"4599,185","4600,455","4596,935","4598,425"
2026-04-29T03:20:00.000Z,29/4/2026,GOLD,5Min,"4599,865","4600,785","4598,555","4599,155"
2026-04-29T03:15:00.000Z,29/4/2026,GOLD,5Min,"4601,675","4603,135","4599,455","4599,755"
2026-04-29T03:10:00.000Z,29/4/2026,GOLD,5Min,"4599,445","4602,825","4598,335","4601,585"
2026-04-29T03:05:00.000Z,29/4/2026,GOLD,5Min,"4596,745","4600,175","4596,065","4599,415"
2026-04-29T03:00:00.000Z,29/4/2026,GOLD,5Min,"4593,565","4597,805","4592,505","4596,275"
2026-04-29T02:55:00.000Z,29/4/2026,GOLD,5Min,"4592,965","4594,405","4592,125","4593,565"
2026-04-29T02:50:00.000Z,29/4/2026,GOLD,5Min,"4599,155","4600,235","4592,685","4592,915"
2026-04-29T02:45:00.000Z,29/4/2026,GOLD,5Min,"4596,645","4601,065","4596,225","4599,015"
2026-04-29T02:40:00.000Z,29/4/2026,GOLD,5Min,"4595,758","4598,465","4595,755","4596,575"
2026-04-29T02:35:00.000Z,29/4/2026,GOLD,5Min,"4599,285","4599,285","4595,758","4595,765"
2026-04-29T02:30:00.000Z,29/4/2026,GOLD,5Min,"4598,795","4601,535","4598,098","4599,315"
2026-04-29T02:25:00.000Z,29/4/2026,GOLD,5Min,"4598,265","4602,855","4597,988","4598,765"
2026-04-29T02:20:00.000Z,29/4/2026,GOLD,5Min,"4601,085","4601,465","4598,255","4598,385"
2026-04-29T02:15:00.000Z,29/4/2026,GOLD,5Min,"4600,805","4603,905","4599,745","4601,055"
2026-04-29T02:10:00.000Z,29/4/2026,GOLD,5Min,"4598,765","4602,185","4598,605","4600,715"
2026-04-29T02:05:00.000Z,29/4/2026,GOLD,5Min,"4592,215","4601,035","4591,605","4598,665"
2026-04-29T02:00:00.000Z,29/4/2026,GOLD,5Min,"4584,665","4595,215","4584,655","4592,185"
2026-04-29T01:55:00.000Z,29/4/2026,GOLD,5Min,"4581,585","4585,155","4580,655","4584,665"
2026-04-29T01:50:00.000Z,29/4/2026,GOLD,5Min,"4583,545","4584,025","4580,185","4581,565"
2026-04-29T01:45:00.000Z,29/4/2026,GOLD,5Min,"4590,465","4591,395","4581,955","4583,415"
2026-04-29T01:40:00.000Z,29/4/2026,GOLD,5Min,"4584,705","4591,445","4582,325","4590,485"
2026-04-29T01:35:00.000Z,29/4/2026,GOLD,5Min,"4586,035","4588,995","4583,775","4584,685"
2026-04-29T01:30:00.000Z,29/4/2026,GOLD,5Min,"4580,255","4586,325","4578,685","4585,995"
2026-04-29T01:25:00.000Z,29/4/2026,GOLD,5Min,"4584,825","4585,535","4579,905","4580,215"
2026-04-29T01:20:00.000Z,29/4/2026,GOLD,5Min,"4585,395","4586,345","4581,935","4584,875"
2026-04-29T01:15:00.000Z,29/4/2026,GOLD,5Min,"4581,945","4585,805","4578,975","4585,375"
2026-04-29T01:10:00.000Z,29/4/2026,GOLD,5Min,"4580,875","4585,545","4580,875","4582,135"
2026-04-29T01:05:00.000Z,29/4/2026,GOLD,5Min,"4582,325","4586,325","4575,825","4580,915"
2026-04-29T01:00:00.000Z,29/4/2026,GOLD,5Min,"4600,015","4600,205","4579,885","4582,225"
2026-04-29T00:55:00.000Z,29/4/2026,GOLD,5Min,"4597,835","4601,695","4597,575","4600,045"
2026-04-29T00:50:00.000Z,29/4/2026,GOLD,5Min,"4599,775","4599,775","4595,905","4597,865"
2026-04-29T00:45:00.000Z,29/4/2026,GOLD,5Min,"4603,515","4603,745","4599,195","4599,845"
2026-04-29T00:40:00.000Z,29/4/2026,GOLD,5Min,"4602,715","4604,595","4602,245","4603,455"
2026-04-29T00:35:00.000Z,29/4/2026,GOLD,5Min,"4601,655","4602,695","4599,115","4602,685"
2026-04-29T00:30:00.000Z,29/4/2026,GOLD,5Min,"4599,875","4602,215","4599,465","4601,635"
2026-04-29T00:25:00.000Z,29/4/2026,GOLD,5Min,"4602,245","4604,595","4598,395","4599,855"
2026-04-29T00:20:00.000Z,29/4/2026,GOLD,5Min,"4600,465","4602,925","4599,395","4602,295"
2026-04-29T00:15:00.000Z,29/4/2026,GOLD,5Min,"4607,525","4607,675","4600,515","4600,625"
2026-04-29T00:10:00.000Z,29/4/2026,GOLD,5Min,"4608,095","4610,195","4606,495","4607,175"
2026-04-29T00:05:00.000Z,29/4/2026,GOLD,5Min,"4606,355","4608,235","4604,935","4608,145"
2026-04-29T00:00:00.000Z,29/4/2026,GOLD,5Min,"4595,385","4606,515","4595,015","4606,315"
2026-04-28T23:55:00.000Z,28/4/2026,GOLD,5Min,"4592,165","4596,115","4592,135","4595,365"
2026-04-28T23:50:00.000Z,28/4/2026,GOLD,5Min,"4588,995","4592,185","4588,935","4592,125"
2026-04-28T23:45:00.000Z,28/4/2026,GOLD,5Min,"4589,665","4592,845","4588,545","4589,015"
2026-04-28T23:40:00.000Z,28/4/2026,GOLD,5Min,"4588,195","4590,385","4587,835","4589,645"
2026-04-28T23:35:00.000Z,28/4/2026,GOLD,5Min,"4591,025","4591,165","4587,745","4588,135"
2026-04-28T23:30:00.000Z,28/4/2026,GOLD,5Min,"4591,975","4593,275","4590,445","4591,075"
2026-04-28T23:25:00.000Z,28/4/2026,GOLD,5Min,"4591,795","4592,125","4590,155","4591,955"
2026-04-28T23:20:00.000Z,28/4/2026,GOLD,5Min,"4591,945","4592,095","4591,035","4591,775"
2026-04-28T23:15:00.000Z,28/4/2026,GOLD,5Min,"4590,515","4592,615","4589,975","4591,905"
2026-04-28T23:10:00.000Z,28/4/2026,GOLD,5Min,"4590,705","4590,955","4589,025","4590,595"
2026-04-28T23:05:00.000Z,28/4/2026,GOLD,5Min,"4592,895","4593,055","4590,348","4590,405"
2026-04-28T23:00:00.000Z,28/4/2026,GOLD,5Min,"4593,585","4594,015","4591,775","4592,895"
2026-04-28T22:55:00.000Z,28/4/2026,GOLD,5Min,"4594,825","4594,955","4591,905","4593,585"
2026-04-28T22:50:00.000Z,28/4/2026,GOLD,5Min,"4593,775","4595,005","4592,475","4594,865"
2026-04-28T22:45:00.000Z,28/4/2026,GOLD,5Min,"4593,455","4595,245","4592,715","4593,815"
2026-04-28T22:40:00.000Z,28/4/2026,GOLD,5Min,"4593,915","4594,945","4592,805","4593,455"
2026-04-28T22:35:00.000Z,28/4/2026,GOLD,5Min,"4596,775","4597,015","4593,615","4593,955"
2026-04-28T22:30:00.000Z,28/4/2026,GOLD,5Min,"4595,635","4596,885","4595,625","4596,755"
2026-04-28T22:25:00.000Z,28/4/2026,GOLD,5Min,"4596,405","4596,685","4594,975","4595,535"
2026-04-28T22:20:00.000Z,28/4/2026,GOLD,5Min,"4596,585","4597,005","4595,965","4596,435"
2026-04-28T22:15:00.000Z,28/4/2026,GOLD,5Min,"4596,205","4597,075","4594,698","4596,525"
2026-04-28T22:10:00.000Z,28/4/2026,GOLD,5Min,"4594,865","4596,685","4594,698","4596,175"
2026-04-28T22:05:00.000Z,28/4/2026,GOLD,5Min,"4598,045","4598,125","4593,858","4594,865"
2026-04-28T22:00:00.000Z,28/4/2026,GOLD,5Min,"4596,205","4599,515","4594,205","4598,045"
2026-04-28T21:55:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:50:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:45:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:40:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:35:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:30:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:25:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:20:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:15:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:10:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:05:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T21:00:00.000Z,28/4/2026,GOLD,5Min,"4594,435","4594,435","4594,435","4594,435"
2026-04-28T20:55:00.000Z,28/4/2026,GOLD,5Min,"4595,745","4597,075","4594,435","4594,435"
2026-04-28T20:50:00.000Z,28/4/2026,GOLD,5Min,"4592,965","4595,715","4592,615","4595,695"
2026-04-28T20:45:00.000Z,28/4/2026,GOLD,5Min,"4593,215","4593,635","4592,715","4592,985"
2026-04-28T20:40:00.000Z,28/4/2026,GOLD,5Min,"4594,195","4594,565","4592,225","4593,195"
2026-04-28T20:35:00.000Z,28/4/2026,GOLD,5Min,"4593,775","4594,935","4592,765","4594,235"
2026-04-28T20:30:00.000Z,28/4/2026,GOLD,5Min,"4592,685","4595,215","4592,605","4593,775"
2026-04-28T20:25:00.000Z,28/4/2026,GOLD,5Min,"4592,535","4593,665","4590,925","4592,685"
2026-04-28T20:20:00.000Z,28/4/2026,GOLD,5Min,"4594,035","4594,065","4591,365","4592,505"
2026-04-28T20:15:00.000Z,28/4/2026,GOLD,5Min,"4597,215","4597,995","4594,035","4594,105"
2026-04-28T20:10:00.000Z,28/4/2026,GOLD,5Min,"4597,715","4598,585","4596,845","4597,175"
2026-04-28T20:05:00.000Z,28/4/2026,GOLD,5Min,"4596,585","4598,205","4595,855","4597,795"
2026-04-28T20:00:00.000Z,28/4/2026,GOLD,5Min,"4595,425","4596,735","4594,635","4596,575"
2026-04-28T19:55:00.000Z,28/4/2026,GOLD,5Min,"4595,115","4596,405","4594,045","4595,385"
2026-04-28T19:50:00.000Z,28/4/2026,GOLD,5Min,"4597,965","4598,205","4593,125","4595,095"
2026-04-28T19:45:00.000Z,28/4/2026,GOLD,5Min,"4598,375","4599,245","4596,235","4597,785"
2026-04-28T19:40:00.000Z,28/4/2026,GOLD,5Min,"4598,255","4599,755","4597,655","4598,395"
2026-04-28T19:35:00.000Z,28/4/2026,GOLD,5Min,"4596,195","4598,425","4596,195","4598,235"
2026-04-28T19:30:00.000Z,28/4/2026,GOLD,5Min,"4596,135","4596,595","4594,525","4596,265"
2026-04-28T19:25:00.000Z,28/4/2026,GOLD,5Min,"4595,925","4597,085","4595,255","4596,095"
2026-04-28T19:20:00.000Z,28/4/2026,GOLD,5Min,"4594,645","4596,145","4593,535","4595,845"
2026-04-28T19:15:00.000Z,28/4/2026,GOLD,5Min,"4595,485","4595,625","4593,995","4594,678"
2026-04-28T19:10:00.000Z,28/4/2026,GOLD,5Min,"4596,495","4597,345","4595,435","4595,485"
2026-04-28T19:05:00.000Z,28/4/2026,GOLD,5Min,"4595,605","4598,565","4595,565","4596,495"
2026-04-28T19:00:00.000Z,28/4/2026,GOLD,5Min,"4594,015","4597,435","4593,695","4595,555"
2026-04-28T18:55:00.000Z,28/4/2026,GOLD,5Min,"4595,078","4595,355","4592,915","4594,015"
2026-04-28T18:50:00.000Z,28/4/2026,GOLD,5Min,"4597,835","4598,398","4594,765","4595,078"
2026-04-28T18:45:00.000Z,28/4/2026,GOLD,5Min,"4597,575","4598,615","4596,855","4597,825"
2026-04-28T18:40:00.000Z,28/4/2026,GOLD,5Min,"4596,165","4597,915","4595,925","4597,555"
2026-04-28T18:35:00.000Z,28/4/2026,GOLD,5Min,"4594,805","4596,545","4593,385","4595,945"
2026-04-28T18:30:00.000Z,28/4/2026,GOLD,5Min,"4598,835","4599,345","4594,395","4594,778"
2026-04-28T18:25:00.000Z,28/4/2026,GOLD,5Min,"4599,085","4600,375","4597,795","4598,785"
2026-04-28T18:20:00.000Z,28/4/2026,GOLD,5Min,"4597,645","4599,965","4596,805","4599,025"
2026-04-28T18:15:00.000Z,28/4/2026,GOLD,5Min,"4595,855","4599,125","4595,855","4597,658"
2026-04-28T18:10:00.000Z,28/4/2026,GOLD,5Min,"4596,105","4596,585","4594,545","4595,845"
2026-04-28T18:05:00.000Z,28/4/2026,GOLD,5Min,"4593,565","4597,425","4593,225","4596,105"
2026-04-28T18:00:00.000Z,28/4/2026,GOLD,5Min,"4594,585","4598,345","4591,875","4593,545"
2026-04-28T17:55:00.000Z,28/4/2026,GOLD,5Min,"4597,085","4597,795","4593,865","4594,565"
2026-04-28T17:50:00.000Z,28/4/2026,GOLD,5Min,"4597,995","4598,295","4596,115","4597,085"
2026-04-28T17:45:00.000Z,28/4/2026,GOLD,5Min,"4598,795","4600,435","4597,565","4597,915"
2026-04-28T17:40:00.000Z,28/4/2026,GOLD,5Min,"4598,305","4601,245","4598,245","4598,795"
2026-04-28T17:35:00.000Z,28/4/2026,GOLD,5Min,"4595,465","4599,175","4595,435","4598,285"
2026-04-28T17:30:00.000Z,28/4/2026,GOLD,5Min,"4593,555","4597,015","4593,555","4595,385"
2026-04-28T17:25:00.000Z,28/4/2026,GOLD,5Min,"4595,005","4597,035","4592,335","4593,275"
2026-04-28T17:20:00.000Z,28/4/2026,GOLD,5Min,"4588,265","4595,315","4587,095","4594,935"
2026-04-28T17:15:00.000Z,28/4/2026,GOLD,5Min,"4593,525","4594,005","4587,235","4588,245"
2026-04-28T17:10:00.000Z,28/4/2026,GOLD,5Min,"4591,085","4594,645","4589,885","4593,565"
2026-04-28T17:05:00.000Z,28/4/2026,GOLD,5Min,"4589,715","4591,695","4588,315","4591,135"
2026-04-28T17:00:00.000Z,28/4/2026,GOLD,5Min,"4592,095","4593,995","4589,575","4589,655"
2026-04-28T16:55:00.000Z,28/4/2026,GOLD,5Min,"4593,275","4594,665","4591,375","4592,095"
2026-04-28T16:50:00.000Z,28/4/2026,GOLD,5Min,"4586,395","4594,215","4586,395","4593,225"
2026-04-28T16:45:00.000Z,28/4/2026,GOLD,5Min,"4584,695","4588,255","4583,605","4586,295"
2026-04-28T16:40:00.000Z,28/4/2026,GOLD,5Min,"4584,625","4585,435","4582,575","4584,745"
2026-04-28T16:35:00.000Z,28/4/2026,GOLD,5Min,"4580,488","4586,625","4580,285","4584,625"
2026-04-28T16:30:00.000Z,28/4/2026,GOLD,5Min,"4582,398","4584,828","4580,758","4580,788"
2026-04-28T16:25:00.000Z,28/4/2026,GOLD,5Min,"4581,525","4585,248","4581,525","4582,528"
2026-04-28T16:20:00.000Z,28/4/2026,GOLD,5Min,"4580,495","4583,095","4580,425","4581,548"
2026-04-28T16:15:00.000Z,28/4/2026,GOLD,5Min,"4585,255","4585,615","4577,655","4580,545"
2026-04-28T16:10:00.000Z,28/4/2026,GOLD,5Min,"4584,935","4585,745","4582,655","4585,055"
2026-04-28T16:05:00.000Z,28/4/2026,GOLD,5Min,"4583,665","4586,225","4582,735","4584,935"
2026-04-28T16:00:00.000Z,28/4/2026,GOLD,5Min,"4586,215","4586,725","4582,135","4583,705"
2026-04-28T15:55:00.000Z,28/4/2026,GOLD,5Min,"4583,675","4586,325","4581,585","4586,215"
2026-04-28T15:50:00.000Z,28/4/2026,GOLD,5Min,"4581,735","4586,035","4581,305","4583,685"
2026-04-28T15:45:00.000Z,28/4/2026,GOLD,5Min,"4577,595","4583,105","4576,485","4581,735"
2026-04-28T15:40:00.000Z,28/4/2026,GOLD,5Min,"4578,695","4580,795","4576,815","4577,675"
2026-04-28T15:35:00.000Z,28/4/2026,GOLD,5Min,"4571,435","4581,205","4571,015","4578,755"
2026-04-28T15:30:00.000Z,28/4/2026,GOLD,5Min,"4576,765","4577,575","4570,965","4571,415"
2026-04-28T15:25:00.000Z,28/4/2026,GOLD,5Min,"4571,785","4577,195","4570,175","4576,805"
2026-04-28T15:20:00.000Z,28/4/2026,GOLD,5Min,"4572,535","4573,095","4566,815","4571,775"
2026-04-28T15:15:00.000Z,28/4/2026,GOLD,5Min,"4572,525","4575,885","4569,825","4572,555"
2026-04-28T15:10:00.000Z,28/4/2026,GOLD,5Min,"4572,605","4574,735","4570,265","4572,585"
2026-04-28T15:05:00.000Z,28/4/2026,GOLD,5Min,"4575,965","4579,885","4570,605","4572,645"
2026-04-28T15:00:00.000Z,28/4/2026,GOLD,5Min,"4574,365","4581,845","4573,935","4575,955"
2026-04-28T14:55:00.000Z,28/4/2026,GOLD,5Min,"4563,635","4574,685","4560,175","4574,395"
2026-04-28T14:50:00.000Z,28/4/2026,GOLD,5Min,"4562,845","4565,285","4557,085","4563,635"
2026-04-28T14:45:00.000Z,28/4/2026,GOLD,5Min,"4564,025","4567,345","4560,665","4562,905"
2026-04-28T14:40:00.000Z,28/4/2026,GOLD,5Min,"4560,155","4565,615","4557,145","4564,055"
2026-04-28T14:35:00.000Z,28/4/2026,GOLD,5Min,"4569,785","4570,395","4559,825","4560,155"
2026-04-28T14:30:00.000Z,28/4/2026,GOLD,5Min,"4571,355","4577,885","4568,875","4569,785"
2026-04-28T14:25:00.000Z,28/4/2026,GOLD,5Min,"4567,885","4572,995","4567,285","4571,345"
2026-04-28T14:20:00.000Z,28/4/2026,GOLD,5Min,"4571,285","4574,265","4564,895","4567,985"
2026-04-28T14:15:00.000Z,28/4/2026,GOLD,5Min,"4568,085","4577,685","4563,808","4571,235"
2026-04-28T14:10:00.000Z,28/4/2026,GOLD,5Min,"4569,515","4572,175","4565,845","4568,115"
2026-04-28T14:05:00.000Z,28/4/2026,GOLD,5Min,"4565,855","4574,795","4564,915","4569,415"
2026-04-28T14:00:00.000Z,28/4/2026,GOLD,5Min,"4580,225","4580,455","4565,115","4565,835"
2026-04-28T13:55:00.000Z,28/4/2026,GOLD,5Min,"4581,035","4582,295","4574,525","4580,305"
2026-04-28T13:50:00.000Z,28/4/2026,GOLD,5Min,"4586,175","4590,285","4579,455","4581,015"
2026-04-28T13:45:00.000Z,28/4/2026,GOLD,5Min,"4581,585","4592,505","4580,045","4586,195"
2026-04-28T13:40:00.000Z,28/4/2026,GOLD,5Min,"4579,425","4591,315","4573,385","4581,595"
2026-04-28T13:35:00.000Z,28/4/2026,GOLD,5Min,"4577,765","4582,535","4575,385","4579,505"
2026-04-28T13:30:00.000Z,28/4/2026,GOLD,5Min,"4580,998","4581,555","4570,625","4577,765"
2026-04-28T13:25:00.000Z,28/4/2026,GOLD,5Min,"4575,975","4584,055","4572,035","4581,235"
2026-04-28T13:20:00.000Z,28/4/2026,GOLD,5Min,"4577,355","4580,915","4575,255","4576,045"
2026-04-28T13:15:00.000Z,28/4/2026,GOLD,5Min,"4576,015","4579,555","4573,025","4577,285"
2026-04-28T13:10:00.000Z,28/4/2026,GOLD,5Min,"4572,695","4581,235","4570,925","4575,985"
2026-04-28T13:05:00.000Z,28/4/2026,GOLD,5Min,"4583,925","4584,135","4571,035","4572,665"
2026-04-28T13:00:00.000Z,28/4/2026,GOLD,5Min,"4593,465","4594,395","4584,045","4584,115"
2026-04-28T12:55:00.000Z,28/4/2026,GOLD,5Min,"4594,715","4599,965","4591,615","4593,515"
