edad,genero,promedio_notas,horas_estudio,nivel_socioeconomico,asistencia_clases,tipo_institucion,acceso_recursos,condicion_laboral,motivacion_academica,distancia_escuela,horas_trabajo,participacion_extracurricular,uso_tecnologia
20,No Binario,86,15.8,Medio,84,Pública,Bajo,Empleado,4.7,1.8,15,No,Medio
15,Femenino,78.6,7.1,Medio,84,Privada,Medio,Desempleado,9,4.8,8,Sí,Alto
17,Masculino,77.4,10.8,Medio,85,Pública,Medio,Empleado,8.9,11.6,11,No,Bajo
20,Femenino,85.3,23.7,Bajo,87,Pública,Medio,Desempleado,4.8,11.3,12,No,Medio
23,Masculino,86.4,15.8,Bajo,88,Privada,Medio,Desempleado,8.1,11.8,5,Sí,Bajo
21,Femenino,88.7,11.8,Medio,86,Pública,Medio,Empleado,9.6,5.4,7,No,Medio
21,Masculino,78.8,13.8,Medio,77,Pública,Alto,Empleado,3.4,3.6,13,Sí,Medio
22,Femenino,51.6,18.7,Medio,81,Privada,Bajo,Desempleado,6.8,11.1,7,Sí,Medio
19,No Binario,70.3,20.7,Medio,84,Privada,Alto,Desempleado,6.9,31.4,10,Sí,Bajo
22,Femenino,75.3,13,Medio,83,Pública,Bajo,Desempleado,3.7,11.3,9,No,Bajo
19,No Binario,76.4,19.8,Alto,89,Pública,Medio,Desempleado,8.6,9.4,6,No,Alto
18,Masculino,74.8,16.7,Bajo,78,Pública,Bajo,Empleado,6.8,7.2,5,No,Bajo
20,No Binario,85.2,17.3,Alto,89,Pública,Alto,Empleado,9,15.6,13,Sí,Alto
22,Masculino,70,8.3,Medio,89,Pública,Medio,Desempleado,8.8,14.8,10,Sí,Bajo
22,Femenino,56.7,21.6,Alto,88,Pública,Medio,Empleado,5.6,8.3,6,Sí,Alto
21,Masculino,81.9,13.1,Bajo,81,Pública,Bajo,Desempleado,7.3,1,9,No,Alto
26,No Binario,81,1.9,Alto,88,Privada,Medio,Desempleado,2.1,6.6,8,No,Medio
22,No Binario,57,11.9,Bajo,80,Pública,Medio,Desempleado,9.6,11.8,10,Sí,Medio
23,Masculino,83.1,15.1,Alto,81,Pública,Medio,Desempleado,4.9,0.3,17,Sí,Alto
25,No Binario,84.3,-1.3,Alto,83,Pública,Medio,Empleado,3.9,5,7,Sí,Bajo
18,Femenino,84,25.8,Bajo,82,Privada,Alto,Empleado,3.5,1,7,No,Bajo
19,Masculino,91.8,13.9,Alto,85,Privada,Medio,Empleado,4.2,1.3,9,Sí,Bajo
24,Femenino,67.7,14,Bajo,89,Privada,Medio,Empleado,5.8,16.7,9,No,Medio
19,Femenino,54.7,13.5,Medio,85,Pública,Alto,Desempleado,5.2,11.7,10,No,Medio
21,Femenino,76.2,13.5,Alto,83,Privada,Medio,Empleado,4.4,11.1,14,No,Alto
23,Femenino,80.3,18.5,Alto,89,Pública,Bajo,Desempleado,4.6,31.1,8,No,Bajo
23,No Binario,86.9,11.7,Bajo,82,Pública,Medio,Desempleado,5.5,9.6,13,No,Medio
25,No Binario,76.1,12.9,Bajo,90,Privada,Bajo,Desempleado,6.6,18.9,8,No,Bajo
24,Femenino,77.8,12.4,Medio,76,Pública,Alto,Desempleado,2.5,4.7,8,Sí,Medio
23,No Binario,94,18.3,Medio,84,Pública,Medio,Empleado,6.2,1.9,9,Sí,Medio
19,Femenino,86.9,12,Medio,81,Privada,Bajo,Empleado,9.4,10.1,12,No,Alto
23,No Binario,73.4,18.3,Alto,87,Pública,Medio,Empleado,9.8,16.3,9,Sí,Bajo
22,Femenino,67.6,25.1,Bajo,85,Pública,Alto,Desempleado,9.4,1.6,8,No,Medio
18,No Binario,66.9,18,Bajo,86,Pública,Medio,Desempleado,3.1,3.5,11,No,Medio
24,Femenino,86.7,13.6,Medio,87,Privada,Bajo,Desempleado,2.2,4.1,12,Sí,Alto
23,Femenino,68.9,11.6,Medio,86,Pública,Medio,Empleado,4.6,18.1,12,Sí,Bajo
21,Femenino,81.1,13.2,Alto,83,Pública,Bajo,Desempleado,7.6,0.2,4,Sí,Medio
21,Femenino,72.3,19.4,Alto,85,Privada,Medio,Desempleado,3.9,15,12,No,Alto
19,No Binario,88.8,22.7,Bajo,81,Privada,Medio,Empleado,5.3,3.4,7,No,Bajo
21,Masculino,69.2,15,Alto,87,Pública,Medio,Desempleado,5.3,2.7,18,Sí,Medio
22,No Binario,93.7,13.5,Medio,81,Pública,Bajo,Empleado,1.3,7.8,7,Sí,Alto
19,No Binario,57.9,12.1,Bajo,85,Pública,Medio,Desempleado,9.3,3.6,6,No,Alto
23,Masculino,66.3,19.4,Medio,81,Pública,Medio,Desempleado,1.9,15,12,Sí,Medio
19,Femenino,72,15,Alto,87,Pública,Medio,Empleado,1.7,14.7,15,Sí,Medio
17,Masculino,71.5,22.6,Medio,85,Pública,Bajo,Empleado,6.2,4.5,18,Sí,Medio
23,No Binario,89.9,25.3,Medio,86,Pública,Bajo,Empleado,4.5,13.8,12,No,Medio
20,No Binario,91.3,12.2,Medio,83,Pública,Alto,Desempleado,6.4,3.2,6,Sí,Medio
21,Femenino,63.7,22.6,Medio,84,Privada,Medio,Empleado,5,6.2,11,No,Bajo
19,Masculino,67.2,17.2,Medio,87,Pública,Medio,Desempleado,6.1,17.7,13,Sí,Medio
18,Masculino,54.6,21,Alto,87,Pública,Medio,Desempleado,4,3.6,6,Sí,Alto
24,No Binario,82.9,9.6,Alto,82,Pública,Alto,Empleado,4.3,1.4,11,No,Alto
20,Masculino,81.4,16,Alto,82,Pública,Bajo,Desempleado,7.5,1.5,11,Sí,Medio
24,No Binario,73,9.5,Medio,80,Pública,Alto,Desempleado,4.8,1.8,4,No,Medio
23,Femenino,82,20.7,Bajo,87,Pública,Alto,Desempleado,8.5,5.2,10,Sí,Medio
20,Masculino,81.1,12,Bajo,86,Pública,Bajo,Desempleado,4.8,7.5,10,No,Bajo
19,Femenino,58.4,12.4,Alto,89,Pública,Alto,Empleado,2.8,13.7,10,Sí,Bajo
20,Femenino,95,5.8,Bajo,86,Pública,Medio,Desempleado,9.4,1.5,7,Sí,Medio
19,Femenino,85.7,13.4,Alto,88,Pública,Alto,Desempleado,9.9,22.5,17,No,Alto
25,Femenino,63.7,20.3,Bajo,81,Pública,Bajo,Empleado,8.5,25.9,10,No,Medio
21,No Binario,92,13.3,Bajo,85,Pública,Medio,Desempleado,6,14.3,5,Sí,Alto
23,Masculino,84.2,25.7,Medio,76,Privada,Medio,Desempleado,4,3.7,9,No,Medio
18,Masculino,72.5,14.5,Alto,81,Privada,Alto,Desempleado,3.7,2.7,11,No,Medio
21,Femenino,65.2,24.2,Medio,89,Privada,Medio,Empleado,5.9,3.9,7,Sí,Medio
23,Masculino,84.9,9.8,Bajo,82,Pública,Medio,Desempleado,8,14,8,Sí,Bajo
20,Femenino,74.2,11.8,Bajo,89,Privada,Alto,Desempleado,9.2,6.6,12,Sí,Medio
23,Masculino,81.8,16,Medio,82,Privada,Medio,Desempleado,4.9,18.8,5,Sí,Alto
19,Femenino,66.6,11.2,Alto,87,Pública,Alto,Desempleado,6.9,0.8,14,No,Bajo
18,Femenino,82.8,18.8,Bajo,91,Privada,Alto,Empleado,4.7,23.5,6,Sí,Medio
22,No Binario,72.1,17.3,Alto,87,Pública,Medio,Empleado,5.2,4.4,7,No,Alto
20,Masculino,84.6,18.8,Medio,85,Pública,Medio,Empleado,3.2,9.5,10,Sí,Bajo
22,No Binario,86.5,15.9,Bajo,86,Pública,Alto,Desempleado,8.3,2,5,No,Alto
17,No Binario,76.2,15.6,Medio,88,Pública,Medio,Empleado,7.5,0.4,11,Sí,Medio
22,Masculino,76.7,11.7,Medio,84,Pública,Alto,Desempleado,7.1,2.4,11,Sí,Alto
26,No Binario,85.9,13.3,Medio,88,Pública,Bajo,Empleado,6.9,5.4,6,No,Medio
21,Femenino,87.6,21.5,Alto,84,Privada,Medio,Empleado,7.7,0.1,14,Sí,Alto
21,Femenino,79.5,12.7,Medio,83,Privada,Medio,Empleado,9,40.6,10,Sí,Alto
21,Masculino,73.9,19.1,Medio,78,Privada,Alto,Empleado,9,2.1,9,No,Alto
17,Femenino,56.7,16.5,Bajo,90,Pública,Bajo,Desempleado,8.5,20.4,11,No,Alto
22,Masculino,59,20.2,Medio,89,Pública,Alto,Empleado,9.2,12.8,11,No,Alto
18,No Binario,67.2,18.8,Bajo,83,Privada,Medio,Empleado,2.5,14.1,6,No,Bajo
20,Femenino,63.3,19.9,Medio,82,Pública,Alto,Desempleado,9.8,9.3,10,No,Alto
23,No Binario,79,19.5,Medio,87,Pública,Alto,Desempleado,3,21.4,12,No,Alto
20,Femenino,86.1,17.8,Medio,88,Pública,Alto,Desempleado,4.6,9.9,8,No,Alto
22,Femenino,69,15.4,Bajo,82,Pública,Medio,Empleado,9.4,2.7,14,Sí,Medio
23,Masculino,80.1,20.2,Alto,87,Pública,Medio,Empleado,2.2,0.6,10,No,Alto
22,Masculino,85.7,8.9,Alto,84,Privada,Bajo,Desempleado,6.6,29.7,13,No,Bajo
18,Masculino,83,12.4,Medio,86,Privada,Alto,Empleado,8.7,9.9,9,No,Bajo
20,Masculino,76.8,8.1,Alto,86,Privada,Medio,Empleado,8.1,1.9,6,No,Bajo
25,No Binario,65.6,14.2,Medio,86,Privada,Bajo,Desempleado,6.7,0.1,7,Sí,Alto
17,Masculino,69.7,13.1,Alto,78,Pública,Bajo,Desempleado,1,3.8,10,No,Medio
20,No Binario,86.3,4.5,Bajo,82,Privada,Medio,Empleado,3.8,8.2,14,Sí,Bajo
20,Femenino,55.5,12.3,Alto,88,Pública,Medio,Desempleado,4.8,3.7,12,No,Medio
21,No Binario,59.2,11.3,Medio,84,Pública,Alto,Desempleado,4.1,6.5,11,Sí,Medio
22,Femenino,91.1,9.6,Medio,84,Pública,Medio,Desempleado,1.8,0.3,11,No,Alto
24,Femenino,72.6,15.4,Bajo,88,Pública,Medio,Desempleado,5.9,7.8,11,Sí,Medio
20,No Binario,84.9,15.8,Medio,81,Pública,Medio,Empleado,3.7,7.9,8,No,Alto
23,Masculino,91.2,12.1,Bajo,84,Pública,Medio,Desempleado,2.2,14.3,9,Sí,Medio
22,No Binario,88.9,21.8,Alto,78,Pública,Alto,Desempleado,9.1,20.7,12,No,Alto
22,No Binario,82.6,21.4,Alto,81,Pública,Alto,Desempleado,2.6,3.2,10,No,Alto
20,Femenino,76.5,21.7,Bajo,83,Privada,Bajo,Empleado,8.4,34.9,16,No,Alto
19,Femenino,65.3,24.3,Medio,83,Pública,Alto,Desempleado,7.7,1.9,15,No,Bajo
19,Masculino,81,12,Medio,85,Privada,Alto,Desempleado,9,6.5,7,No,Medio
19,Masculino,77.8,14.7,Medio,80,Pública,Medio,Desempleado,5.1,15.2,10,Sí,Medio
22,Masculino,68.5,5.1,Medio,87,Pública,Medio,Desempleado,1.7,20.7,13,Sí,Medio
23,Femenino,59.4,18.4,Bajo,83,Pública,Bajo,Empleado,1.3,1.1,8,Sí,Medio
22,Masculino,89.8,14.7,Medio,75,Pública,Medio,Empleado,4.4,0.4,7,Sí,Bajo
20,No Binario,74.8,10.6,Medio,80,Pública,Alto,Desempleado,7,25.9,13,No,Alto
25,No Binario,62.6,25.4,Medio,87,Privada,Medio,Desempleado,9.6,10.6,8,No,Bajo
24,Masculino,73.6,21.1,Bajo,81,Privada,Alto,Empleado,1.3,18.1,9,No,Medio
20,Masculino,73.8,9.8,Medio,84,Privada,Bajo,Desempleado,9.7,13.7,11,No,Medio
19,No Binario,75.6,9.1,Bajo,84,Pública,Medio,Empleado,2.2,12.9,7,Sí,Bajo
21,Masculino,85.9,18.5,Medio,90,Privada,Medio,Desempleado,1.1,5.5,12,No,Medio
24,Femenino,86.6,12.9,Bajo,81,Pública,Alto,Desempleado,7.1,12.2,9,Sí,Bajo
22,Femenino,65.4,11.9,Medio,84,Privada,Medio,Desempleado,3.6,1.3,9,No,Medio
22,No Binario,67.1,16.2,Alto,87,Pública,Medio,Empleado,6.1,4.9,9,No,Bajo
21,Femenino,63.2,9.9,Bajo,84,Pública,Alto,Desempleado,8.1,13.3,13,Sí,Bajo
22,Femenino,80.9,12.9,Medio,82,Privada,Medio,Desempleado,4.8,5.5,14,No,Alto
24,Femenino,67.7,15.6,Medio,88,Privada,Alto,Empleado,5.8,42.5,12,Sí,Bajo
21,Femenino,73.1,18.9,Medio,82,Privada,Bajo,Desempleado,3.6,25.9,10,Sí,Bajo
21,Masculino,85.6,17,Medio,83,Pública,Medio,Desempleado,9.7,3.2,12,No,Bajo
22,Femenino,63.1,15.8,Medio,85,Pública,Medio,Empleado,6.2,21.4,13,Sí,Bajo
22,No Binario,58.9,23.2,Medio,82,Pública,Medio,Empleado,4.6,17.4,12,No,Alto
18,Masculino,70.3,11,Medio,84,Pública,Bajo,Desempleado,2.9,6.4,10,No,Bajo
17,No Binario,63.9,7.3,Medio,85,Privada,Medio,Empleado,1.3,5.4,9,Sí,Bajo
19,Femenino,68.5,14.5,Medio,78,Pública,Alto,Desempleado,6,2.7,6,No,Medio
21,Masculino,65,16.1,Alto,84,Pública,Medio,Empleado,5,9.2,9,No,Bajo
22,Masculino,80.1,8.9,Alto,85,Pública,Alto,Desempleado,6.4,8.8,6,Sí,Bajo
20,Masculino,77.9,13.1,Alto,85,Pública,Medio,Desempleado,7.1,4,5,Sí,Bajo
24,Femenino,82.6,19.2,Alto,86,Pública,Medio,Desempleado,8.3,10,12,No,Alto
21,No Binario,69.4,19,Alto,84,Pública,Medio,Empleado,3.6,10.9,15,Sí,Alto
21,Masculino,77.5,11.8,Medio,83,Pública,Alto,Desempleado,3.1,7,11,Sí,Bajo
21,No Binario,67.7,10.4,Bajo,90,Pública,Medio,Desempleado,8.4,21.4,6,Sí,Bajo
21,No Binario,79.4,17.7,Bajo,88,Pública,Medio,Desempleado,3.2,15.6,11,No,Medio
22,Masculino,79.5,19.6,Alto,76,Pública,Medio,Empleado,8.6,0.7,15,No,Alto
22,Femenino,81.9,8.3,Alto,83,Pública,Medio,Desempleado,3.9,6.2,12,No,Bajo
19,Femenino,64.2,14.9,Medio,83,Pública,Medio,Empleado,6.7,2.4,13,No,Alto
24,No Binario,92.9,14.4,Bajo,89,Privada,Bajo,Empleado,3.1,7.9,11,No,Medio
19,Masculino,71.5,11.4,Alto,88,Pública,Medio,Desempleado,7.2,2.4,12,No,Bajo
21,No Binario,82,16.2,Bajo,86,Privada,Medio,Empleado,4.8,22.2,16,Sí,Medio
20,No Binario,49,13.2,Medio,89,Privada,Medio,Desempleado,8.8,0.5,14,No,Alto
19,Femenino,74.2,18.9,Medio,78,Pública,Alto,Empleado,9,17.9,12,Sí,Alto
21,Femenino,81.9,18,Bajo,89,Privada,Medio,Desempleado,6.1,5.3,15,Sí,Alto
20,Femenino,64.2,8.4,Bajo,83,Pública,Medio,Empleado,7.2,9.3,16,Sí,Alto
21,Masculino,69.4,6.7,Bajo,84,Pública,Medio,Empleado,9,3,6,No,Alto
22,Masculino,77.2,18.7,Alto,84,Pública,Medio,Empleado,9.4,9.2,6,Sí,Medio
24,Masculino,90.6,21.4,Medio,89,Pública,Alto,Empleado,1.2,2.1,18,Sí,Medio
22,Masculino,79.5,19.8,Medio,85,Pública,Medio,Desempleado,9.6,16.4,8,No,Medio
20,Femenino,85,18.9,Bajo,83,Pública,Bajo,Empleado,5.7,9.1,10,No,Bajo
20,No Binario,56.1,12.7,Medio,86,Pública,Medio,Desempleado,2.4,10.5,7,No,Bajo
21,Femenino,55.5,16.6,Alto,89,Privada,Medio,Desempleado,7.3,3.1,12,Sí,Bajo
21,No Binario,71.1,27.3,Bajo,83,Pública,Medio,Desempleado,6.8,1.8,13,Sí,Medio
24,Masculino,84.2,16.1,Medio,85,Pública,Medio,Desempleado,8.5,0.4,16,Sí,Alto
24,Masculino,75.6,21,Medio,92,Privada,Bajo,Desempleado,5.4,1.8,12,Sí,Alto
20,Femenino,84.4,7,Alto,90,Pública,Alto,Desempleado,9.4,4.6,5,No,Alto
20,Masculino,67.1,16.7,Bajo,87,Pública,Bajo,Desempleado,1.7,23.9,8,No,Medio
16,Femenino,66.1,15.2,Bajo,77,Privada,Medio,Empleado,5.5,15.3,10,No,Medio
20,No Binario,79.9,13.2,Medio,91,Pública,Medio,Desempleado,3.8,2.5,8,No,Medio
19,Masculino,86,18.9,Bajo,85,Privada,Alto,Desempleado,4.2,0.2,12,No,Alto
20,No Binario,84.1,18.7,Bajo,85,Pública,Medio,Empleado,8.5,2.7,10,Sí,Medio
22,Femenino,74.8,14.3,Medio,82,Pública,Alto,Desempleado,8.3,23.2,8,Sí,Alto
21,Femenino,75.1,17.4,Medio,85,Pública,Alto,Desempleado,3.8,3.9,8,Sí,Alto
21,No Binario,62.6,20.7,Bajo,86,Pública,Medio,Desempleado,4,8.3,10,No,Medio
21,Masculino,79.6,20.8,Medio,83,Pública,Medio,Desempleado,4.2,6.5,10,Sí,Alto
21,Masculino,76.6,11.6,Medio,87,Pública,Medio,Desempleado,7.2,7.7,16,Sí,Alto
21,Femenino,75.7,27.5,Alto,83,Privada,Medio,Empleado,4,22.5,12,No,Medio
15,Femenino,89.6,18.4,Medio,89,Privada,Alto,Empleado,5.3,3.9,8,Sí,Bajo
20,Femenino,92.7,12.7,Medio,83,Pública,Medio,Empleado,1.4,8.1,15,No,Alto
21,Masculino,86.6,14.7,Medio,89,Pública,Medio,Empleado,8.5,6.6,7,Sí,Medio
20,No Binario,55.2,9,Bajo,89,Pública,Bajo,Desempleado,10,10.1,13,Sí,Alto
21,No Binario,63.3,10.8,Alto,90,Pública,Medio,Desempleado,6.3,15.2,10,No,Medio
22,Masculino,62.8,16.1,Medio,82,Pública,Bajo,Desempleado,7.8,3.2,13,No,Medio
20,No Binario,87.3,8,Alto,81,Privada,Alto,Desempleado,4.9,5.5,12,Sí,Alto
25,Femenino,79.2,12.5,Bajo,78,Pública,Alto,Empleado,8.8,1.9,11,Sí,Bajo
22,No Binario,57.8,12.2,Medio,84,Privada,Bajo,Empleado,1.4,0.3,9,Sí,Bajo
21,Femenino,84.3,14.2,Medio,89,Pública,Alto,Desempleado,3.9,4.2,12,No,Alto
21,Femenino,69.7,7.1,Alto,88,Privada,Medio,Empleado,6.2,3.6,9,No,Bajo
21,Masculino,77.3,15,Medio,93,Pública,Medio,Empleado,3.7,33.3,11,Sí,Medio
19,No Binario,79.7,17.4,Bajo,84,Privada,Medio,Empleado,5.6,22.5,16,No,Alto
21,No Binario,69.5,16.9,Alto,88,Pública,Bajo,Empleado,6.2,2.8,10,Sí,Bajo
22,Femenino,90.4,5.1,Medio,81,Pública,Bajo,Desempleado,6.8,1.1,13,Sí,Alto
22,Masculino,96.8,22.1,Medio,79,Privada,Bajo,Desempleado,9.8,30.7,5,Sí,Medio
22,Masculino,83.1,22.4,Medio,89,Pública,Alto,Desempleado,8.6,5.7,8,Sí,Medio
20,No Binario,82.9,13.5,Medio,86,Pública,Medio,Empleado,7.5,2.1,8,Sí,Bajo
18,Masculino,94.3,23.8,Medio,81,Pública,Medio,Desempleado,3.4,18.5,7,Sí,Bajo
20,No Binario,72.2,14.4,Alto,83,Pública,Medio,Desempleado,2,18.7,8,No,Alto
24,Femenino,61.4,13,Bajo,87,Pública,Alto,Desempleado,1.9,8.2,9,Sí,Alto
23,Femenino,84.3,9.8,Medio,92,Privada,Medio,Empleado,7,1.1,10,Sí,Bajo
22,No Binario,81.2,14.7,Medio,83,Privada,Alto,Desempleado,6.2,40.1,7,Sí,Bajo
19,Masculino,72.8,14.3,Medio,86,Pública,Medio,Desempleado,3.9,0.1,12,No,Alto
21,Femenino,85.5,13.5,Alto,80,Pública,Alto,Empleado,3.1,16.9,10,Sí,Bajo
18,No Binario,50.5,16.2,Medio,84,Privada,Medio,Desempleado,7,4.8,8,Sí,Bajo
20,Femenino,69.5,16.3,Medio,85,Privada,Medio,Desempleado,7,30.9,8,Sí,Bajo
21,No Binario,73.2,7.8,Medio,78,Pública,Alto,Desempleado,5.9,32.9,15,Sí,Alto
20,Masculino,71.5,19.6,Medio,87,Pública,Medio,Empleado,5,14.8,13,No,Medio
23,Femenino,62.8,18.9,Alto,86,Pública,Alto,Desempleado,2.6,3.4,7,Sí,Medio
18,Femenino,70,14.8,Bajo,77,Pública,Bajo,Empleado,1.6,0.2,7,Sí,Alto
19,Femenino,84.1,14.2,Alto,88,Privada,Alto,Empleado,5.3,46.7,10,Sí,Medio
18,Masculino,77.6,13.6,Alto,80,Pública,Bajo,Desempleado,3.3,23.8,8,Sí,Bajo
19,Masculino,77.9,12.7,Bajo,88,Pública,Medio,Desempleado,7.8,6.4,14,Sí,Bajo
21,Femenino,88.2,10.2,Alto,85,Privada,Alto,Empleado,5.8,16.4,14,Sí,Bajo
18,Masculino,74.2,9.7,Medio,82,Pública,Medio,Empleado,1.4,5.6,11,Sí,Bajo
23,Masculino,92.6,20.2,Bajo,86,Pública,Bajo,Empleado,7.4,7.2,15,No,Bajo
21,No Binario,97.3,24.1,Alto,86,Pública,Alto,Desempleado,7.1,7,12,Sí,Medio
21,No Binario,73.2,19.3,Alto,82,Pública,Bajo,Desempleado,9.1,1.9,9,No,Bajo
22,No Binario,79.4,12.8,Bajo,85,Privada,Bajo,Empleado,2.9,6.3,8,No,Medio
20,Femenino,78.8,15.3,Alto,86,Pública,Alto,Desempleado,8.4,6.3,13,Sí,Alto
23,No Binario,71.3,10.8,Medio,84,Pública,Alto,Desempleado,9.4,23.5,10,Sí,Bajo
21,Masculino,86.6,13.7,Bajo,82,Pública,Medio,Empleado,6.5,11.3,6,Sí,Medio
22,Femenino,72.6,18.5,Medio,87,Pública,Bajo,Empleado,7.6,9.7,5,No,Medio
21,Femenino,89.7,9.3,Bajo,88,Pública,Alto,Desempleado,1.5,11.2,6,No,Bajo
22,Masculino,77.4,7.9,Medio,77,Pública,Bajo,Empleado,2.1,9.2,11,No,Medio
22,No Binario,74.5,17.8,Medio,84,Pública,Medio,Empleado,1.6,2.4,10,Sí,Alto
21,No Binario,73.6,10.8,Medio,88,Pública,Alto,Desempleado,7.9,1.2,7,Sí,Alto
19,No Binario,67.1,12,Medio,86,Pública,Medio,Empleado,5.5,25.3,5,No,Medio
22,Femenino,75.6,9.6,Medio,90,Pública,Alto,Desempleado,1.2,14.6,8,No,Alto
20,Femenino,76.2,13.5,Bajo,86,Privada,Medio,Desempleado,8.2,2.8,12,Sí,Alto
22,No Binario,57.7,13.2,Medio,92,Pública,Medio,Desempleado,5.3,13.9,10,No,Alto
17,No Binario,71.1,17,Medio,76,Pública,Medio,Empleado,6.8,2,14,No,Alto
18,Femenino,70.4,13.1,Medio,77,Privada,Bajo,Desempleado,3,13.4,4,No,Bajo
22,Masculino,66.6,12.4,Medio,85,Privada,Alto,Empleado,4.9,5,12,Sí,Medio
25,Masculino,58.1,20.7,Medio,89,Privada,Medio,Empleado,4.2,0.1,8,No,Medio
23,Femenino,66.7,12.6,Bajo,87,Pública,Alto,Desempleado,3.6,0.7,8,Sí,Bajo
20,No Binario,85.5,15.6,Bajo,84,Pública,Alto,Desempleado,10,6.4,11,No,Medio
18,No Binario,86.5,19.2,Medio,84,Pública,Medio,Desempleado,4.5,0.3,10,Sí,Bajo
22,No Binario,105.4,18.2,Bajo,88,Pública,Bajo,Desempleado,4.1,5,10,Sí,Bajo
21,Masculino,70.1,19.9,Medio,85,Privada,Alto,Empleado,6.5,3.7,11,Sí,Bajo
22,No Binario,79,16.7,Bajo,84,Pública,Medio,Desempleado,3.7,1.1,14,No,Alto
21,Masculino,80.8,19.7,Bajo,89,Pública,Medio,Desempleado,1.4,6.1,7,Sí,Medio
21,Masculino,66.7,13.3,Medio,86,Privada,Medio,Desempleado,2.8,1.2,13,Sí,Alto
27,No Binario,66.6,21.5,Medio,83,Pública,Bajo,Empleado,5.8,2.1,12,Sí,Bajo
21,No Binario,49.9,15.7,Alto,86,Privada,Bajo,Desempleado,5.2,26.1,11,No,Alto
21,Masculino,74.4,22.4,Medio,90,Privada,Medio,Empleado,5.7,5.8,9,No,Alto
21,Femenino,66.5,19.4,Alto,81,Pública,Medio,Desempleado,7.2,11.6,13,Sí,Alto
20,Masculino,62.8,19.3,Medio,90,Pública,Medio,Empleado,1.3,33.7,8,Sí,Bajo
23,Masculino,69.8,18.7,Alto,83,Pública,Bajo,Empleado,7.8,1.5,13,No,Medio
20,No Binario,61.7,17.7,Bajo,88,Pública,Bajo,Desempleado,2.7,4.5,12,No,Medio
